,record_id,start_page,volume,numeric_pub_date,record_title,issue,pagination,url_doc_view,pub_id,review_type,reviewed_book_genre,genre_parsed
423,124488747,159,29,18931101,Review 2 -- No Title,6,,http://search.proquest.com/docview/124488747/,24200,single_focus,Nonfiction - academic/pseudo-academic,nonfiction
427,125502663,454,7,18971101,"""NONE NAME THEE BUT TO PRAISE.""",12,454,http://search.proquest.com/docview/125502663/,24471,single_focus,Nonfiction,nonfiction
428,124777738,237,5,18860101,EGYPT AND BABYLON.,5,237,http://search.proquest.com/docview/124777738/,24591,single_focus,Nonfiction - historical,nonfiction
430,137412078,283,,19070401,Review 3 -- No Title,2,283,http://search.proquest.com/docview/137412078/,25258,single_focus,Nonfiction - religious,nonfiction
433,89664298,79,XXXVI,19040201,A COMPOSITE HISTORY OF OUR COUNTRY.,423,79,http://search.proquest.com/docview/89664298/,25244,single_focus,Nonfiction,nonfiction
439,136966375,141,85,19070119,Dr. George A. Gordon's Sermons,3,141,http://search.proquest.com/docview/136966375/,35617,single_focus,Nonfiction - religious,nonfiction
442,124882811,353,25,18960516,"""The Light that Lies""",743,353,http://search.proquest.com/docview/124882811/,24241,single_focus,Fiction - novel,fiction
447,125242315,278,140,19100801,Review 4 -- No Title,2,278,http://search.proquest.com/docview/125242315/,41361,single_focus,Nonfiction - science,nonfiction
448,126338733,216,4,18900801,Review 1 -- No Title,2,216,http://search.proquest.com/docview/126338733/,24304,single_focus,Nonfiction - reference,nonfiction
449,90133998,225,20,18890706,Kophetua the Thirteenth.,14,225,http://search.proquest.com/docview/90133998/,25067,single_focus,Fiction,fiction
453,126629712,363,Vol. XLV.,18811203,Review 1 -- No Title,No. 23.,363,http://search.proquest.com/docview/126629712/,41364,single_focus,Nonfiction - reference,nonfiction
454,137013746,200,137,19240604,Review 2 -- No Title,5,200,http://search.proquest.com/docview/137013746/,35617,single_focus,Fiction,fiction
455,89671364,589,LXI,19161228,Mexico and the present administration.,732,589,http://search.proquest.com/docview/89671364/,25244,single_focus,Nonfiction - academic/pseudo-academic,nonfiction
461,136133837,839,7,18910901,"PHILOSOPHY, LANGUAGE, AND GENERAL SCIENCE.",5,839,http://search.proquest.com/docview/136133837/,35593,single_focus,Nonfiction - academic/pseudo-academic,nonfiction
462,135644793,298,8,18980101,BOOK REVIEWS.,2,298,http://search.proquest.com/docview/135644793/,35492,single_focus,Nonfiction - academic/pseudo-academic,nonfiction
463,136578336,1141,48,18931216,Books and Authors,25,1141,http://search.proquest.com/docview/136578336/,35617,single_focus,Nonfiction - religious,nonfiction
466,89644779,236,XX,18960416,THE PIONEER OF AMERICAN JURISPRUDENCE.,236,236,http://search.proquest.com/docview/89644779/,25244,single_focus,Nonfiction - academic/pseudo-academic,nonfiction
467,90502364,652,69,19100922,Review 4 -- No Title,3225,652,http://search.proquest.com/docview/90502364/,24565,single_focus,Nonfiction - biographical,nonfiction
473,89664902,318,XXXI,19011101,MCCLCLLAN AS A GREAT COMMANDER.,369,318,http://search.proquest.com/docview/89664902/,25244,single_focus,Nonfiction - biographical,nonfiction
475,89649761,235,XX,18960416,THE VOICE AND SPIRITUAL EDUCATION.,236,235,http://search.proquest.com/docview/89649761/,25244,single_focus,Nonfiction - academic/pseudo-academic,nonfiction
476,125208652,335,34,19011201,Review 10 -- No Title,3,,http://search.proquest.com/docview/125208652/,24901,single_focus,Nonfiction - religious,nonfiction
479,136764528,554,3,18940901,Review 23 -- No Title,11,554,http://search.proquest.com/docview/136764528/,24702,single_focus,Nonfiction - religious,nonfiction
480,136883708,119,12,18801120,REVIEWS AND BOOK NOTICES.,4,119,http://search.proquest.com/docview/136883708/,24284,single_focus,Nonfiction,nonfiction
483,137653744,385,5,18850201,AMONG THE BOOKS,5,385,http://search.proquest.com/docview/137653744/,34480,single_focus,Nonfiction - biographical,nonfiction
484,124760371,279,9,18990501,Review 5 -- No Title,3,,http://search.proquest.com/docview/124760371/,24243,single_focus,Nonfiction - biographical,nonfiction
486,89686151,450,LVII,19141201,"HORACE WALPOLE'S "" DEAR BOTH.""",683,450,http://search.proquest.com/docview/89686151/,25244,single_focus,Nonfiction - biographical,nonfiction
487,89810450,260,,18810701,Bishop Dudley's Bohlen Lectures.,134,260,http://search.proquest.com/docview/89810450/,24907,single_focus,Nonfiction - religious,nonfiction
491,90145468,35,14,18830210,GESTA CHRISTI.,3,35,http://search.proquest.com/docview/90145468/,25067,single_focus,Nonfiction - religious,nonfiction
492,89639059,38,IV,18830601,Review 1 -- No Title,38,38,http://search.proquest.com/docview/89639059/,25244,single_focus,Nonfiction,nonfiction
493,125247266,447,115,18980401,Review 6 -- No Title,4,447,http://search.proquest.com/docview/125247266/,41361,single_focus,Nonfiction - science,nonfiction
494,89633413,61,IX,18880701,MANASSEH CUTLER.,99,61,http://search.proquest.com/docview/89633413/,25244,single_focus,Nonfiction - biographical,nonfiction
496,89759190,136,47,18880101,POEMS BY EDWIN ARNOLD.,1,136,http://search.proquest.com/docview/89759190/,24087,single_focus,Poetry,poetry
498,125252913,182,103,18920201,Review 1 -- No Title,2,182,http://search.proquest.com/docview/125252913/,41361,single_focus,Nonfiction - science,nonfiction
504,89668021,326,XLI,19061116,The makers and heroes of New Japan.,490,326,http://search.proquest.com/docview/89668021/,25244,single_focus,Nonfiction - biographical,nonfiction
505,136685639,332,23,18810406,Books and Authors.,14,332,http://search.proquest.com/docview/136685639/,35616,single_focus,Nonfiction - historical,nonfiction
508,126390206,297,48,18810921,THE IMPERISHABLE BOOK.,38,297,http://search.proquest.com/docview/126390206/,34897,single_focus,Nonfiction - religious,nonfiction
509,89659580,204,XXXVI,19040316,The philosophy of Auguste Comte.,426,204,http://search.proquest.com/docview/89659580/,25244,single_focus,Nonfiction - academic/pseudo-academic,nonfiction
512,90128412,360,27,18961031,THE PHILOSOPHY OF BELIEF.,22,,http://search.proquest.com/docview/90128412/,25067,single_focus,Nonfiction - religious,nonfiction
514,136413923,233,11,18871001,ARTICLE I.--THE PROGRESS OF NEW ENGLAND AGRICULTURE DURING THE LAST THIRTY YEARS.,211,,http://search.proquest.com/docview/136413923/,35595,single_focus,Nonfiction,nonfiction
515,89686487,72,LXI,19160715,Review 4 -- No Title,722,72,http://search.proquest.com/docview/89686487/,25244,single_focus,Nonfiction - biographical,nonfiction
517,89646693,97,XIX,18950816,Spiritual life in modern English poetry.,220,97,http://search.proquest.com/docview/89646693/,25244,single_focus,Nonfiction - academic/pseudo-academic,nonfiction
518,136114077,19,85,18970714,LITERARY.,28,19,http://search.proquest.com/docview/136114077/,24536,single_focus,Nonfiction - historical,nonfiction
521,89659229,42,XXXV,19030716,Portrailures of Julius Coesar.,410,42,http://search.proquest.com/docview/89659229/,25244,single_focus,Nonfiction - academic/pseudo-academic,nonfiction
524,124141679,656,91,19060505,Lady Baltimore,18,656,http://search.proquest.com/docview/124141679/,26207,single_focus,Fiction - novel,fiction
538,124335919,759,19,18931101,TOOLS AND THE MAN.,114,759,http://search.proquest.com/docview/124335919/,24421,single_focus,Nonfiction - academic/pseudo-academic,nonfiction
539,124354297,683,6,18861201,SELECTIONS FROM THE PSALMS AND OTHER SCRIPTURES IN THE REVISED VERSION.,36,683,http://search.proquest.com/docview/124354297/,24421,single_focus,Nonfiction - religious,nonfiction
540,124362987,328,5,18860301,THE BIBLICAL SCHEME OF NATURE AND OF MAN.,27,328,http://search.proquest.com/docview/124362987/,24421,single_focus,Nonfiction - religious,nonfiction
541,124451042,147,VOL. XV.,18951201,"MAX NORDAU'S ""DEGENERATION.""",No. LXXIII.,147,http://search.proquest.com/docview/124451042/,24237,single_focus,Nonfiction - academic/pseudo-academic,nonfiction
542,124453505,V,,18931101,ANOTHER VOICE FOR FREEDOM.,No. XLVIII.,V,http://search.proquest.com/docview/124453505/,24237,single_focus,Poetry,poetry
544,124454073,216,VOL. 37,19070201,Review 5 -- No Title,No. 207,216,http://search.proquest.com/docview/124454073/,24237,single_focus,Nonfiction - historical,nonfiction
545,124463057,434,VOL. XXXI,19040401,Review 2 -- No Title,No. 4,434,http://search.proquest.com/docview/124463057/,24237,single_focus,Nonfiction - religious,nonfiction
546,124464853,663,VOL. XXVIII.,19021201,Review 2 -- No Title,No. 6.,663,http://search.proquest.com/docview/124464853/,24237,single_focus,Fiction - novel,fiction
547,124466556,665,VOL. XXIX.,19030601,Review 2 -- No Title,No. 6.,665,http://search.proquest.com/docview/124466556/,24237,single_focus,Nonfiction - academic/pseudo-academic,nonfiction
548,124466620,585,VOL. 38,19071101,Review 8 -- No Title,NO. 216,585,http://search.proquest.com/docview/124466620/,24237,single_focus,Nonfiction - academic/pseudo-academic,nonfiction
550,124471315,22,17,18870601,BONAVENTURE'S CATALOGUE.,1,22,http://search.proquest.com/docview/124471315/,24200,single_focus,Nonfiction - reference,nonfiction
551,124471503,21,6,18811201,A BIOGRAPHY OF DAVID COX.,1,21,http://search.proquest.com/docview/124471503/,24200,single_focus,Nonfiction - biographical,nonfiction
553,124480872,37,,18921201,Review 3 -- No Title,,,http://search.proquest.com/docview/124480872/,24200,single_focus,Fiction - novel,fiction
557,124496758,89,41,18990901,Review 2 -- No Title,4,,http://search.proquest.com/docview/124496758/,24200,single_focus,Nonfiction - academic/pseudo-academic,nonfiction
558,124518738,145,9,18870101,II.--HISTORICAL THEOLOGY.,33,,http://search.proquest.com/docview/124518738/,24469,single_focus,Nonfiction - religious,nonfiction
559,124699551,222,20,18950101,THE POETICAL WORKS OF LAGENIENSIS.,77,222,http://search.proquest.com/docview/124699551/,24831,single_focus,Poetry,poetry
560,124699834,664,19,18940701,THE DATA OF MODERN ETHICS EXAMINED.,75,664,http://search.proquest.com/docview/124699834/,24831,single_focus,Nonfiction - religious,nonfiction
561,124703086,190,37,19120101,SOCIAL FRANCE IN THE SEVENTEENTH CENTURY.,145,190,http://search.proquest.com/docview/124703086/,24831,single_focus,Nonfiction - academic/pseudo-academic,nonfiction
562,124708276,188,34,19090101,THE CATECHISM IN EXAMPLES.,133,188,http://search.proquest.com/docview/124708276/,24831,single_focus,Nonfiction - religious,nonfiction
564,124733894,574,57,19230701,MAXWELL BODENHEIM,5,,http://search.proquest.com/docview/124733894/,24243,single_focus,Poetry,poetry
565,124737429,647,32,19110201,"""White Roses""",6,,http://search.proquest.com/docview/124737429/,24243,single_focus,Fiction - novel,fiction
566,124737516,608,32,19110201,MEREDITH IN FRENCH EYES,6,,http://search.proquest.com/docview/124737516/,24243,single_focus,Nonfiction - biographical,nonfiction
568,124747248,172,5,18970401,Review 2 -- No Title,2,,http://search.proquest.com/docview/124747248/,24243,single_focus,Nonfiction - advice,nonfiction
569,124747283,566,,19020801,"III. MR. PEMBERTON'S ""ELLEN TERRY AND HER SISTERS.""",,,http://search.proquest.com/docview/124747283/,24243,single_focus,Nonfiction - biographical,nonfiction
571,124748263,193,29,19090401,II THE LETTERS OF MRS. JAMES G. BLAINE,2,,http://search.proquest.com/docview/124748263/,24243,single_focus,Nonfiction - biographical,nonfiction
572,124748801,176,,19020401,"IV. CLINTON SCOLLARD'S ""THE CLOISTERING OF URSULA.""",,,http://search.proquest.com/docview/124748801/,24243,single_focus,Fiction - novel,fiction
573,124749716,96,41,19150301,"IV F. C. HOWE'S ""THE MODERN CITY""",1,,http://search.proquest.com/docview/124749716/,24243,single_focus,Nonfiction - academic/pseudo-academic,nonfiction
574,124749889,264,28,19081101,"""Tables of Stone""",3,,http://search.proquest.com/docview/124749889/,24243,single_focus,Fiction - novel,fiction
575,124750342,496,27,19080701,"VIII JACQUES FUTRELLE'S ""THE THINKING MACHINE ON THE CASE""",5,,http://search.proquest.com/docview/124750342/,24243,single_focus,Fiction - novel,fiction
576,124751008,559,41,19150701,"III STEWART EDWARD WHITE'S ""THE REDISCOVERED COUNTRY""",5,,http://search.proquest.com/docview/124751008/,24243,single_focus,Nonfiction - autobiographical,nonfiction
577,124751689,409,,19071201,"""The Flight Into Eden""",,,http://search.proquest.com/docview/124751689/,24243,single_focus,Fiction - novel,fiction
579,124755017,583,12,19010201,"IV. NORMAN DUNCAN'S ""THE SOUL OF THE STREET.""",6,,http://search.proquest.com/docview/124755017/,24243,single_focus,Nonfiction - travel,nonfiction
580,124755037,210,39,19140401,"THE ROCKS OF VALPRE""",2,,http://search.proquest.com/docview/124755037/,24243,single_focus,Fiction - novel,fiction
581,124755063,83,25,19070301,"V MR. VACHELL'S ""THE FACE OF CLAY""",1,,http://search.proquest.com/docview/124755063/,24243,single_focus,Fiction - novel,fiction
582,124755242,414,38,19131201,"YOUTH'S ENCOUNTER""",4,,http://search.proquest.com/docview/124755242/,24243,single_focus,Fiction - novel,fiction
583,124756269,499,25,19070701,"Barbara Rebell""",5,,http://search.proquest.com/docview/124756269/,24243,single_focus,Fiction - novel,fiction
584,124757488,134,22,19051001,"""The Boss of Little Arcady.""",2,,http://search.proquest.com/docview/124757488/,24243,single_focus,Fiction - novel,fiction
585,124759955,106,23,19060301,THE BOOKMAN'S TABLE,1,,http://search.proquest.com/docview/124759955/,24243,single_focus,Nonfiction - advice,nonfiction
587,124764347,169,8,18981001,Review 2 -- No Title,2,,http://search.proquest.com/docview/124764347/,24243,single_focus,Nonfiction - academic/pseudo-academic,nonfiction
588,124770036,285,40,19121001,Book Review,4,285,http://search.proquest.com/docview/124770036/,24593,single_focus,Nonfiction - academic/pseudo-academic,nonfiction
589,124777509,231,VOL. LXVI,19190401,SACHA GUITRY'S GREATEST PLAY AND LUCIEN GUITRY'S GREATEST PART,No. 4,231,http://search.proquest.com/docview/124777509/,24217,single_focus,Drama,drama
590,124778880,125,13,18910801,Paul's Latest Biographer.,2,125,http://search.proquest.com/docview/124778880/,24592,single_focus,Nonfiction - religious,nonfiction
591,124793440,720,VOL. LII.,19120601,LOVE IN A MASK,NO. 6,720,http://search.proquest.com/docview/124793440/,24154,single_focus,Fiction - novel,fiction
592,124802485,241,"VOL. XXXVI.,",19040201,Review 1 -- No Title,No. 2,241,http://search.proquest.com/docview/124802485/,24154,single_focus,Nonfiction - historical,nonfiction
597,124879138,190,44,19040201,Review 3 -- No Title,2,,http://search.proquest.com/docview/124879138/,24242,single_focus,Poetry,poetry
598,124880240,5,28,18970703,"""The Complete Bachelor""",802,5,http://search.proquest.com/docview/124880240/,24241,single_focus,Nonfiction - advice,nonfiction
599,124880567,139,23,18950223,"""Polar Gleams""",679,139,http://search.proquest.com/docview/124880567/,24241,single_focus,Nonfiction - travel,nonfiction
601,124881664,CXXA,26,18961219,"""History of the German Struggle for Liberty""",774,cxxa,http://search.proquest.com/docview/124881664/,24241,single_focus,Nonfiction - historical,nonfiction
602,124882200,444,22,18941229,"""Truth""",671,444,http://search.proquest.com/docview/124882200/,24241,single_focus,Fiction - novel,fiction
603,124882997,375,39,19011001,Review 3 -- No Title,4,,http://search.proquest.com/docview/124882997/,24242,single_focus,Fiction - novel,fiction
604,124883198,385,27,18970605,A Famous Physician,798,385,http://search.proquest.com/docview/124883198/,24241,single_focus,Nonfiction - autobiographical,nonfiction
605,124885364,380,26,18961212,"""The Shadow Christ""",773,380,http://search.proquest.com/docview/124885364/,24241,single_focus,Nonfiction - religious,nonfiction
607,124889299,369,25,18960523,"""Charles XII""",744,369,http://search.proquest.com/docview/124889299/,24241,single_focus,Nonfiction - historical,nonfiction
608,124891380,337,17,18920618,"""Men, Mines and Animals in South Africa""",539,337,http://search.proquest.com/docview/124891380/,24241,single_focus,Nonfiction - travel,nonfiction
609,124891914,88,25,18960208,"""The Land of the Muskeg""",729,88,http://search.proquest.com/docview/124891914/,24241,single_focus,Nonfiction - travel,nonfiction
610,124892048,154,22,18940908,"""The Garden That I Love""",655,154,http://search.proquest.com/docview/124892048/,24241,single_focus,Nonfiction - advice,nonfiction
612,124892460,41,25,18960118,"""Amos Judd""",726,41,http://search.proquest.com/docview/124892460/,24241,single_focus,Fiction - novel,fiction
613,124892575,33,17,18920116,"""The Young Emperor""",517,33,http://search.proquest.com/docview/124892575/,24241,single_focus,Nonfiction - biographical,nonfiction
615,124894699,180,29,18980312,"""Miss Nina Barrow""",838,180,http://search.proquest.com/docview/124894699/,24241,single_focus,Fiction - novel,fiction
618,124896373,87,12,18890824,"""Studies in the South and West""",295,87,http://search.proquest.com/docview/124896373/,24241,single_focus,Nonfiction - travel,nonfiction
620,124902758,238,1,18810827,MUSIC,17,238,http://search.proquest.com/docview/124902758/,24238,single_focus,Nonfiction - academic/pseudo-academic,nonfiction
621,124903884,121,1,18810507,Buddhist Maxims.,9,121,http://search.proquest.com/docview/124903884/,24238,single_focus,Nonfiction - academic/pseudo-academic,nonfiction
622,124903897,120,15,18910307,"The Grolier ""Philobiblon""",375,120,http://search.proquest.com/docview/124903897/,24241,single_focus,Nonfiction - academic/pseudo-academic,nonfiction
624,124906219,2,15,18910103,Beddoes's Poetical Works,366,2,http://search.proquest.com/docview/124906219/,24241,single_focus,Poetry,poetry
625,124906359,303,,18840628,"""The Book of the Beginnings.""",26,303,http://search.proquest.com/docview/124906359/,24239,single_focus,Nonfiction - religious,nonfiction
627,124910319,27,,18860717,"""Haphazard Personalities.""",133,27,http://search.proquest.com/docview/124910319/,24241,single_focus,Nonfiction - biographical,nonfiction
628,124911338,38,,18870128,"""Slav or Saxon?""",213,38,http://search.proquest.com/docview/124911338/,24241,single_focus,Nonfiction - academic/pseudo-academic,nonfiction
631,124913715,253,,18820923,"""The Burman.""",45,253,http://search.proquest.com/docview/124913715/,24238,single_focus,Nonfiction - travel,nonfiction
632,124913936,160,,18820617,"""The Vision of Esther.""",38,160,http://search.proquest.com/docview/124913936/,24238,single_focus,Poetry,poetry
638,125238042,588,140,19101001,Review 4 -- No Title,4,588,http://search.proquest.com/docview/125238042/,41361,single_focus,Nonfiction - science,nonfiction
639,125238876,274,136,19080801,Review 3 -- No Title,2,274,http://search.proquest.com/docview/125238876/,41361,single_focus,Nonfiction - science,nonfiction
641,125241543,888,144,19121201,Review 10 -- No Title,6,888,http://search.proquest.com/docview/125241543/,41361,single_focus,Nonfiction - science,nonfiction
642,125243937,701,123,19020401,Review 2 -- No Title,4,701,http://search.proquest.com/docview/125243937/,41361,single_focus,Nonfiction - science,nonfiction
643,125245060,591,118,18991101,Review 4 -- No Title,5,591,http://search.proquest.com/docview/125245060/,41361,single_focus,Nonfiction - science,nonfiction
645,125251441,72,103,18920101,Review 1 -- No Title,1,72,http://search.proquest.com/docview/125251441/,41361,single_focus,Nonfiction - science,nonfiction
646,125274806,13,72,19010509,Review 3 -- No Title,19,13,http://search.proquest.com/docview/125274806/,24208,single_focus,Nonfiction - religious,nonfiction
647,125285780,9,70,18990720,Review 1 -- No Title,29,9,http://search.proquest.com/docview/125285780/,24208,single_focus,Nonfiction - academic/pseudo-academic,nonfiction
648,125290224,14,69,18980818,Review 1 -- No Title,33,14,http://search.proquest.com/docview/125290224/,24208,single_focus,Nonfiction - historical,nonfiction
650,125302755,11,67,18960716,Review 1 -- No Title,29,11,http://search.proquest.com/docview/125302755/,24208,single_focus,Nonfiction - historical,nonfiction
652,125327873,3,61,18901225,Review 5 -- No Title,52,3,http://search.proquest.com/docview/125327873/,24208,single_focus,Nonfiction - religious,nonfiction
656,125498506,30,8,18971115,POTTERS AND POTTERY,1,30,http://search.proquest.com/docview/125498506/,24471,single_focus,Nonfiction - historical,nonfiction
657,125499337,183,8,18980101,THE NEW CRITICISM,4,183,http://search.proquest.com/docview/125499337/,24471,single_focus,Nonfiction - academic/pseudo-academic,nonfiction
658,125503375,336,6,18970301,MAKE-BELIEVE CHILDHOOD,8,336,http://search.proquest.com/docview/125503375/,24471,single_focus,Fiction - novel,fiction
659,125504219,100,7,18970615,A PLUCKY WOMAN,3,100,http://search.proquest.com/docview/125504219/,24471,single_focus,Nonfiction - autobiographical,nonfiction
660,125523349,153,VOL. XXII.,18810501,"Schouler's ""History of the United States.""",No. 1.,153,http://search.proquest.com/docview/125523349/,24806,single_focus,Nonfiction - historical,nonfiction
661,125524592,315,VOL. XXII.,18810601,"""A Fair Barbarian,"" by Mrs. Burnett.",No. 2.,315,http://search.proquest.com/docview/125524592/,24806,single_focus,Fiction - novel,fiction
662,125529634,957,XXV,18830401,"Bartlett's ""Life of Rimmer""",6,957,http://search.proquest.com/docview/125529634/,24807,single_focus,Nonfiction - biographical,nonfiction
663,125705774,29,13,19050101,"""The Judicial Evolution of Marriage",1,29,http://search.proquest.com/docview/125705774/,24996,single_focus,Nonfiction - historical,nonfiction
665,125714948,303,7,18990701,Review 1 -- No Title,7,303,http://search.proquest.com/docview/125714948/,24996,single_focus,Nonfiction - academic/pseudo-academic,nonfiction
666,125720170,476,32,18980501,Review 2 -- No Title,,476,http://search.proquest.com/docview/125720170/,35448,single_focus,Nonfiction - reference,nonfiction
667,125720301,141,22,18880101,Review 2 -- No Title,,141,http://search.proquest.com/docview/125720301/,35448,single_focus,Nonfiction - academic/pseudo-academic,nonfiction
668,125722617,344,24,18900301,Review 2 -- No Title,,344,http://search.proquest.com/docview/125722617/,35448,single_focus,Nonfiction - reference,nonfiction
670,125726448,143,18,18840101,Review 3 -- No Title,,143,http://search.proquest.com/docview/125726448/,35448,single_focus,Nonfiction - academic/pseudo-academic,nonfiction
672,125749308,346,1,19110601,Review 24 -- No Title,2,,http://search.proquest.com/docview/125749308/,24832,single_focus,Nonfiction - reference,nonfiction
673,125749576,890,1,19111201,Statistics and Its Method,4,,http://search.proquest.com/docview/125749576/,24832,single_focus,Nonfiction - reference,nonfiction
675,125762745,378,1,19110601,Review 12 -- No Title,2,,http://search.proquest.com/docview/125762745/,24832,single_focus,Nonfiction - academic/pseudo-academic,nonfiction
678,126339953,476,25,18860501,THE EXPLORATIONS AT ZOAN.,5,476,http://search.proquest.com/docview/126339953/,24797,single_focus,Nonfiction - travel,nonfiction
680,126357405,504,21,18841001,Review 5 -- No Title,,,http://search.proquest.com/docview/126357405/,35796,single_focus,Nonfiction - biographical,nonfiction
681,126357675,212,21,18840401,ARTICLE XVI.,,,http://search.proquest.com/docview/126357675/,35796,single_focus,Nonfiction - religious,nonfiction
682,126360711,510,24,18871001,Review 8 -- No Title,,,http://search.proquest.com/docview/126360711/,35796,single_focus,Nonfiction - academic/pseudo-academic,nonfiction
685,126425076,245,28,18910401,Review 9 -- No Title,,,http://search.proquest.com/docview/126425076/,35796,single_focus,Poetry,poetry
686,126443123,249,22,18850401,Review 6 -- No Title,,,http://search.proquest.com/docview/126443123/,35796,single_focus,Nonfiction - religious,nonfiction
687,126447331,128,25,18880101,Review 2 -- No Title,,,http://search.proquest.com/docview/126447331/,35796,single_focus,Nonfiction - religious,nonfiction
693,126754584,13,Vol. LXXXI,18990701,Review 1 -- No Title,No. 1.,13,http://search.proquest.com/docview/126754584/,41364,single_focus,Nonfiction - reference,nonfiction
698,127406065,227,68,18900716,Review 1 -- No Title,29,227,http://search.proquest.com/docview/127406065/,24380,single_focus,Nonfiction - travel,nonfiction
703,127824487,287,,18870301,THE MORALS OF CHRIST.,2,287,http://search.proquest.com/docview/127824487/,24684,single_focus,Nonfiction - religious,nonfiction
710,128386629,177,3,19080601,Ransome Concrete Machinery Hand-Book,6,,http://search.proquest.com/docview/128386629/,51693,single_focus,Nonfiction - advice,nonfiction
713,135792766,305,1,18910101,Review 1 -- No Title,2,305,http://search.proquest.com/docview/135792766/,35492,single_focus,Nonfiction - religious,nonfiction
714,136117615,7,93,19050111,Review 1 -- No Title,2,7,http://search.proquest.com/docview/136117615/,24536,single_focus,Nonfiction - religious,nonfiction
715,136129923,540,4,18810701,Review 6 -- No Title,161,,http://search.proquest.com/docview/136129923/,35594,single_focus,Nonfiction - academic/pseudo-academic,nonfiction
717,136134978,961,6,18901101,Review 1 -- No Title,6,961,http://search.proquest.com/docview/136134978/,35593,single_focus,Nonfiction - biographical,nonfiction
718,136138836,818,17,19010901,Review 7 -- No Title,5,818,http://search.proquest.com/docview/136138836/,35593,single_focus,Nonfiction - religious,nonfiction
719,136139685,326,19,19030301,Review 6 -- No Title,2,326,http://search.proquest.com/docview/136139685/,35593,single_focus,Nonfiction - religious,nonfiction
720,136144286,490,29,19130501,Review 2 -- No Title,3,490,http://search.proquest.com/docview/136144286/,35593,single_focus,Nonfiction - religious,nonfiction
721,136144491,499,30,19140501,Review 1 -- No Title,3,499,http://search.proquest.com/docview/136144491/,35593,single_focus,Nonfiction - biographical,nonfiction
723,136145363,1004,31,19151101,Review 1 -- No Title,6,1004,http://search.proquest.com/docview/136145363/,35593,single_focus,Nonfiction - autobiographical,nonfiction
730,136279861,782,84,19061213,Review 9 -- No Title,50,782,http://search.proquest.com/docview/136279861/,26663,single_focus,Fiction - short story,fiction
733,136415311,586,17,18901201,Review 4 -- No Title,249,,http://search.proquest.com/docview/136415311/,35595,single_focus,Nonfiction - academic/pseudo-academic,nonfiction
734,136416554,290,18,18910301,Review 2 -- No Title,252,,http://search.proquest.com/docview/136416554/,35595,single_focus,Nonfiction - historical,nonfiction
736,136447217,529,62,18900503,Review 2 -- No Title,18,529,http://search.proquest.com/docview/136447217/,24721,single_focus,Nonfiction - academic/pseudo-academic,nonfiction
737,136458708,638,1,18850701,Review 3 -- No Title,4,638,http://search.proquest.com/docview/136458708/,35593,single_focus,Nonfiction - religious,nonfiction
738,136463035,638,5,18890701,Review 5 -- No Title,4,638,http://search.proquest.com/docview/136463035/,35593,single_focus,Nonfiction - historical,nonfiction
739,136463900,326,3,18870301,"HISTORY, BIOGRAPHY, AND TOPOGRAPHY.",2,326,http://search.proquest.com/docview/136463900/,35593,single_focus,Nonfiction - historical,nonfiction
740,136466235,331,12,18960301,Review 5 -- No Title,2,331,http://search.proquest.com/docview/136466235/,35593,single_focus,Nonfiction - religious,nonfiction
742,136470881,72,32,18800101,ART. IV.--HARMAN'S INTRODUCTION.,,72,http://search.proquest.com/docview/136470881/,35592,single_focus,Nonfiction - religious,nonfiction
743,136470963,321,27,19110301,Review 4 -- No Title,2,321,http://search.proquest.com/docview/136470963/,35593,single_focus,Nonfiction - religious,nonfiction
744,136480596,330,28,19120301,Review 2 -- No Title,2,330,http://search.proquest.com/docview/136480596/,35593,single_focus,Poetry,poetry
745,136509325,96,80,19020111,Review 1 -- No Title,2,,http://search.proquest.com/docview/136509325/,24230,single_focus,Nonfiction - science,nonfiction
746,136511431,1200,81,19021220,Review 2 -- No Title,25,,http://search.proquest.com/docview/136511431/,24230,single_focus,Nonfiction - science,nonfiction
747,136513439,918,77,19001208,Review 1 -- No Title,23,,http://search.proquest.com/docview/136513439/,24230,single_focus,Nonfiction - advice,nonfiction
748,136523506,388,66,18950406,Review 4 -- No Title,14,,http://search.proquest.com/docview/136523506/,24230,single_focus,Nonfiction - science,nonfiction
749,136531825,478,77,19000922,Review 2 -- No Title,12,,http://search.proquest.com/docview/136531825/,24230,single_focus,Nonfiction - science,nonfiction
750,136533120,404,78,19010309,Review 2 -- No Title,10,,http://search.proquest.com/docview/136533120/,24230,single_focus,Nonfiction - science,nonfiction
751,136562251,107,6,18850101,Review 2 -- No Title,1,107,http://search.proquest.com/docview/136562251/,41352,single_focus,Nonfiction - academic/pseudo-academic,nonfiction
752,136570677,233,48,18930729,The Genesis of Art-Form1,5,233,http://search.proquest.com/docview/136570677/,35617,single_focus,Nonfiction - academic/pseudo-academic,nonfiction
753,136588150,916,57,18971211,The Evolution of France1,15,916,http://search.proquest.com/docview/136588150/,35617,single_focus,Nonfiction - historical,nonfiction
754,136608189,612,,19040709,Herbert Spencer's Autobiography1,,612,http://search.proquest.com/docview/136608189/,35617,single_focus,Nonfiction - autobiographical,nonfiction
755,136609859,286,84,19060929,Nelson's Encyclopoedia,5,286,http://search.proquest.com/docview/136609859/,35617,single_focus,Nonfiction - reference,nonfiction
